RestaurantID,Cuisine
ypqK8DWM8Bcs43YveSJnNw,american
nv0z4xJoHGnQmBkQasYT6g,american
rOULM2AE_hLhsb4mcT9ucg,american
V3Su_F-I09Jm5p1HlI0FXg,american
csVEpHy5KJoFvM1qp5XwLQ,american
YKfj-CUjgb9xQ1kN_bhNLg,american
6ztuhNteBxQB334A98iP8g,american
xTq-F5nRIOV494iKQJxWeA,american
mZkjzTyiu1CzKn-jNBtMcg,american
4wVaJsvTuBTXAMzkhjwccg,american
XZBxx5rdGBBnT2RPSdV8EQ,american
M7Bl6U2EjxI-n0ksoYtZ8w,american
IY9NuJdUQHkTjBqZYfFNSQ,american
HnFHxQUSviXVa1FUGR-Hjw,american
c1kKAH9XMPNeaBhvnIP0FQ,american
DEHWHskp2gSAkfdylc4SNA,american
6Z9Bo8cUMYdwe01llOy0gQ,american
oo4y63gB623zySTadO1b9Q,american
QUf4eik0ipJGkBtRHNMl5g,american
FyFeyjndrXHDnN-z9-qv_w,american
yGpPYyu3s8iVNuO0ktqsDw,american
0VYAqXbYRcyiQU8QS-SG_g,american
ExxGJoVDzPTdgjnBQIUUwg,american
UILT56veNs63NASF3dGRKA,american
Okbtt-ISFB3kuoxkl2wVgg,american
BmcpuUZ5DnpkxD6eztflKg,american
5mJgmAgKpTbCDdpVs7OFxQ,american
FPD5GmvFphTfCnuGZfgVhQ,brunch
DE0ROwygh-86i4s-WLp8wQ,brunch
93C1xqdTGHyGtoZ9vwn3KA,american
0WunNhGa1dKYMm1N0dXs6Q,american
oucUhaQjSEeJb2F3rVRR_Q,american
IKjwBQ_x1n05aWl0pVgdhw,brunch
jzoUJ5oijGZ1wrvKdyncpA,american
oJYQFBducPsb-497lonrTQ,american
6AC4yhUdnh64zE6b5-n6OQ,american
oEhzzzav2c74sDIqs4sViA,american
zzVeJukpmXchLTQQhxzQjQ,american
oderonBBmlgw-Wd_KsQ6LA,american
hRZyaQ80R9s9ztEBDJqiuw,american
Knbn0h4MA1KX5Fv3eZfK4w,american
szyoiJXuX8shNnsm8-Bffg,american
EabbdIeb0D_8UUQ0KmoPlA,american
K8Z10Tx2rwx6CcHV8FcuJg,american
__EvomQ2tE1NtkWn32WEXg,american
jjmwO_fSM4xjvt2vmX9NbQ,american
J8UMXWNYrn7_D0KXZN1Hrg,american
aSbrPkclNZXBtA2k69Agsw,american
5YV3zSR18X4Ja6d-TOEtyA,american
kt1WO5imurOh6nhbaQK6cQ,american
